item_code,item_name,brand,revenue_costed,qty,cogs,conv_cost,opex_cost,full_cost,gross_profit,op_profit,n_lines,revenue_total,revenue_uncosted,gross_margin_pct,op_margin_pct,cost_coverage_pct
447,استربس الهنا 900 جرام,الهنا,6975.0,45.0,2723.4415,467.042,1746.2868,4936.7703,4251.5585,2038.2297,7.0,6975.0,0.0,60.9542,29.2219,100.0
43,بفتيك 400 جم طبق,ابوهاشم,,,,,,,,,,4518.0,,,,
11,شاورما 400 جم طبق,ابوهاشم,,,,,,,,,,2612.0,,,,
44,برجر ابو هاشم 600 جرام طبق,ابوهاشم,,,,,,,,,,2600.0,,,,
14,تشكيله هندى امامى كيلو,ابوهاشم,,,,,,,,,,2420.0,,,,
71,طبق ممبار طبق,ابوهاشم,,,,,,,,,,1945.92,,,,
433,عجينة بقرى 1 ك كيلو,ابوهاشم,,,,,,,,,,900.0,,,,
20,كيلو اسكندرانى طبق,ابوهاشم,,,,,,,,,,640.0,,,,
432,بفتيك 600 جرام طبق,ابوهاشم,,,,,,,,,,540.0,,,,
21,كيلو سجق طبق,ابوهاشم,,,,,,,,,,500.0,,,,
388,عجينة كفته الهنا خام طبق,الهنا,,,,,,,,,,400.0,,,,
440,استربس الهنا 1 كيلو,الهنا,360.0,3.0,140.5647,34.5957,90.1309,265.2914,219.4353,94.7086,1.0,360.0,0.0,60.9542,26.3079,100.0
23,كيلو كفته طبق,ابوهاشم,,,,,,,,,,300.0,,,,
370,مفروم فراخ A طبق,ابوهاشم,,,,,,,,,,300.0,,,,
436,عجينة بقرى 500 جرام كيلو,ابوهاشم,,,,,,,,,,0.0,,,,
