item_code,item_name,brand,carton_capacity,match_type,master_name_matched,total_revenue,total_qty,n_lines
356,برجر اسبشيال مخصوص 1 ك طبق,اسبشيال,,keyword,,19433.0,114.9,16
387,عجينة سجق بقرى 5 ك اسبشيال طبق,اسبشيال,,keyword,,18895.0,53.0,15
43,بفتيك 400 جم طبق,ابوهاشم,20 كيس,master_list,بفتيك 400 جم,17800.0,186.0,17
359,ام اكس طبق,ابوهاشم,,master_list_fuzzy,ام اكس,13500.0,15.0,1
12,مفروم 3 كيلو كيس 3 كيلو,ابوهاشم,4 كيس,master_list,مفروم 3 كيلو,12960.0,20.0,11
373,عرض مصنعات الهنا كبير طبق,الهنا,,master_list,عرض مصنعات,12600.0,180.0,3
11,شاورما 400 جم طبق,ابوهاشم,20 كيس,master_list,شاورما 400 جم,10335.0,106.0,12
378,مفروم صويا 3 كيلو طبق,ابوهاشم,4 كيس,master_list_fuzzy,مفروم 3 كيلو,9582.0,22.0,4
20,كيلو اسكندرانى طبق,ابوهاشم,,master_list,كيلو اسكندرانى,8072.5,48.5,27
105,سجق الهنا 3 كيلو طبق,الهنا,2 كيس,master_list_fuzzy,سجق الهنا 5 كيلو,8028.0,42.0,2
382,كيلو سجق مخصوص طبق,ابوهاشم,,master_list,كيلو سجق,7870.0,43.0,13
417,كيلو كفته مخصوص 2 طبق,ابوهاشم,,master_list,كيلو كفته,6290.0,37.0,5
1111,برجر 800 ابوهاشم طبق,ابوهاشم,16 كيس,master_list,برجر 800 ابو هاشم,5400.0,60.0,1
14,تشكيله هندى امامى كيلو,ابوهاشم,,master_list,تشكيله هندى امامى,5367.2,21.64,6
319,عجينه حواوشي طبق,غير مصنف,,unclassified,,5280.0,22.0,3
71,طبق ممبار طبق,ابوهاشم,,master_list,طبق ممبار,4115.92,118.0,9
190,صميد طبق,غير مصنف,,unclassified,,3625.0,250.0,1
18,كيلو برجر طبق,ابوهاشم,,master_list,كيلو برجر,3600.0,18.0,1
386,سجق اسباشيل 1 كيلو طبق,اسبشيال,,keyword,,3570.0,21.0,3
440,استربس الهنا 1 كيلو,الهنا,,keyword,,3475.0,32.25,15
23,كيلو كفته طبق,ابوهاشم,,master_list,كيلو كفته,3080.0,28.0,8
385,برجر مخصوص 600 جرام طبق,غير مصنف,,unclassified,,2900.0,29.0,3
15,تشكيله برازيلى كيلو,ابوهاشم,,manual_override,,2698.95,9.47,1
21,كيلو سجق طبق,ابوهاشم,,master_list,كيلو سجق,2643.0,26.2,11
270,برجر اسبشيال طبق,اسبشيال,15 كيس,master_list_fuzzy,برجر اسبشيال صغير,2370.0,45.0,15
418,كيلو كفته مخصوص 1 طبق,ابوهاشم,,master_list,كيلو كفته,2040.0,12.0,2
87,جلتومات الصوديوم طبق,غير مصنف,,unclassified,,1875.0,25.0,1
454,كيلو استربس,غير مصنف,,unclassified,,1450.0,10.0,1
261,كتف هندى طبق,ابوهاشم,,manual_override,,1064.0,5.6,1
86,كيلو كفته مخصوص 1 كيلو,ابوهاشم,,master_list,كيلو كفته,1020.0,6.0,4
19,كيلو قطع ه طبق,ابوهاشم,,manual_override,,1000.0,4.0,1
433,عجينة بقرى 1 ك كيلو,ابوهاشم,,master_list,عجينة بقرى 1 ك,900.0,12.0,8
16,كرتونه كبده امريكى كيلو,ابوهاشم,,master_list,كرتونة كبده امريكى,850.0,5.0,2
11111,كفته حاتي سيخ طبق,غير مصنف,,unclassified,,640.0,16.0,4
296,عجينه كفته طبق,الهنا,,manual_override,,600.0,3.0,1
432,بفتيك 600 جرام طبق,ابوهاشم,,master_list,بفتيك 600 جرام,540.0,3.0,2
383,كيلو عجينة سجق مخصوص طبق,غير مصنف,,unclassified,,450.0,3.0,2
419,عجينة سجق اسباشيل بقرى 250 جرام طبق,اسبشيال,,keyword,,437.5,35.0,7
388,عجينة كفته الهنا خام طبق,الهنا,,master_list_fuzzy,عجينه كفته الهنا مخا,400.0,5.0,1
299,جلد فراخ طبق,ابوهاشم,,master_list,جلد فراخ,390.0,15.0,1
370,مفروم فراخ A طبق,ابوهاشم,,master_list,مفروم فراخ A,300.0,5.0,1
416,عجينة سجق اسبشيال نصف كيلو طبق,اسبشيال,,keyword,,140.0,6.0,4
379,بكرة لزق شفاف طبق,غير مصنف,,unclassified,,25.0,1.0,1
436,عجينة بقرى 500 جرام كيلو,ابوهاشم,,master_list,عجينة بقرى 500 جرام,0.0,1.0,1
