level,series_id,month,forecast_base,forecast_conservative,forecast_optimistic,ci95_lower,ci95_upper
item_qty,13,2026-07,1825.7690047713857,1303.7093156137435,2347.828693929028,1303.7093156137435,2347.828693929028
item_qty,13,2026-08,1872.3001355569663,1133.9962427819466,2610.6040283319862,1133.9962427819466,2610.6040283319862
item_qty,13,2026-09,1918.831266342547,1014.597360137896,2823.065172547198,1014.597360137896,2823.065172547198
item_qty,13,2026-10,1965.3623971281277,921.2430188128435,3009.4817754434116,921.2430188128435,3009.4817754434116
item_qty,13,2026-11,2011.8935279137083,844.5325746448107,3179.254481182606,844.5325746448107,3179.254481182606
item_qty,13,2026-12,2058.424658699289,779.6448049870705,3337.2045124115075,779.6448049870705,3337.2045124115075
item_qty,13,2027-01,2104.9557894848695,723.7156824420651,3486.1958965276735,723.7156824420651,3486.1958965276735
item_qty,101,2026-07,9141.323059658178,4688.557345281216,13594.088774035139,4688.557345281216,13594.088774035139
item_qty,101,2026-08,9077.518020809483,2780.356357467659,15374.679684151306,2780.356357467659,15374.679684151306
item_qty,101,2026-09,9013.712981960785,1301.2965304591598,16726.12943346241,1301.2965304591598,16726.12943346241
item_qty,101,2026-10,8949.90794311209,44.37651435816588,17855.439371866014,44.37651435816588,17855.439371866014
item_qty,101,2026-11,8886.102904263395,-1070.5839209639053,18842.789729490694,-1070.5839209639053,18842.789729490694
item_qty,101,2026-12,8822.2978654147,-2084.7060789682782,19729.301809797675,-2084.7060789682782,19729.301809797675
item_qty,101,2027-01,8758.492826566004,-3022.417900110302,20539.403553242308,-3022.417900110302,20539.403553242308
item_qty,120,2026-07,5742.199805322054,2945.16372104773,8539.235889596377,2945.16372104773,8539.235889596377
item_qty,120,2026-08,5542.69384707557,1587.0874822478859,9498.300211903255,1587.0874822478859,9498.300211903255
item_qty,120,2026-09,5343.187888829087,498.5792802624537,10187.79649739572,498.5792802624537,10187.79649739572
item_qty,120,2026-10,5143.681930582603,-450.3902379660449,10737.75409913125,-450.3902379660449,10737.75409913125
item_qty,120,2026-11,4944.175972336119,-1310.1868476211002,11198.538792293339,-1310.1868476211002,11198.538792293339
item_qty,120,2026-12,4744.6700140896355,-2106.6411845347457,11595.981212714018,-2106.6411845347457,11595.981212714018
item_qty,120,2027-01,4545.164055843152,-2855.09783122061,11945.425942906913,-2855.09783122061,11945.425942906913
item_qty,102,2026-07,13248.365850554781,5202.972304303768,21293.75939680579,5202.972304303768,21293.75939680579
item_qty,102,2026-08,13378.728276225764,2000.8236084886103,24756.63294396292,2000.8236084886103,24756.63294396292
item_qty,102,2026-09,13509.090701896748,-425.9396870967503,27444.121090890247,-425.9396870967503,27444.121090890247
item_qty,102,2026-10,13639.453127567731,-2451.3339649342943,29730.240220069754,-2451.3339649342943,29730.240220069754
item_qty,102,2026-11,13769.815553238714,-4220.23132191665,31759.862428394077,-4220.23132191665,31759.862428394077
item_qty,102,2026-12,13900.177978909696,-5806.9309892861365,33607.28694710553,-5806.9309892861365,33607.28694710553
item_qty,102,2027-01,14030.54040458068,-7255.570118443533,35316.6509276049,-7255.570118443533,35316.6509276049
item_qty,346,2026-07,3985.1575821718866,2093.557997090016,5876.757167253757,2093.557997090016,5876.757167253757
item_qty,346,2026-08,3968.2118118594394,1293.0860240573388,6643.33759966154,1293.0860240573388,6643.33759966154
item_qty,346,2026-09,3951.2660415469923,674.9194526089855,7227.612630484999,674.9194526089855,7227.612630484999
item_qty,346,2026-10,3934.320271234545,151.12110107080434,7717.519441398286,151.12110107080434,7717.519441398286
item_qty,346,2026-11,3917.3745009220984,-312.37075753136105,8147.119759375558,-312.37075753136105,8147.119759375558
item_qty,346,2026-12,3900.428730609651,-733.0250505013055,8533.882511720607,-733.0250505013055,8533.882511720607
item_qty,346,2027-01,3883.482960297204,-1121.2191219423903,8888.1850425368,-1121.2191219423903,8888.1850425368
item_qty,104,2026-07,5118.290855545138,1876.7822200454812,8359.799491044794,1876.7822200454812,8359.799491044794
item_qty,104,2026-08,4873.977534343674,289.7920594705538,9458.163009216794,289.7920594705538,9458.163009216794
item_qty,104,2026-09,4629.66421314221,-984.7934367164589,10244.12186300088,-984.7934367164589,10244.12186300088
item_qty,104,2026-10,4385.350891940747,-2097.6663790585662,10868.36816294006,-2097.6663790585662,10868.36816294006
item_qty,104,2026-11,4141.037570739283,-3107.1960878905375,11389.271229369104,-3107.1960878905375,11389.271229369104
item_qty,104,2026-12,3896.7242495378196,-4043.317904261684,11836.766403337322,-4043.317904261684,11836.766403337322
item_qty,104,2027-01,3652.410928336356,-4923.814793864052,12228.636650536764,-4923.814793864052,12228.636650536764
item_qty,108,2026-07,4024.411680099109,1586.0649026770989,6462.758457521119,1586.0649026770989,6462.758457521119
item_qty,108,2026-08,3864.470222884992,416.12714048605403,7312.813305283929,416.12714048605403,7312.813305283929
item_qty,108,2026-09,3704.528765670875,-518.8117392958866,7927.869270637637,-518.8117392958866,7927.869270637637
item_qty,108,2026-10,3544.587308456758,-1332.1062463872627,8421.280863300779,-1332.1062463872627,8421.280863300779
item_qty,108,2026-11,3384.6458512426407,-2067.663295790524,8836.954998275805,-2067.663295790524,8836.954998275805
item_qty,108,2026-12,3224.7043940285234,-2748.001026615107,9197.409814672154,-2748.001026615107,9197.409814672154
item_qty,108,2027-01,3064.762936814406,-3386.4962463799975,9516.022120008809,-3386.4962463799975,9516.022120008809
item_qty,404,2026-07,3797.484691949217,2356.3017176353096,5238.667666263124,2356.3017176353096,5238.667666263124
item_qty,404,2026-08,3939.5970324976543,1901.45652436173,5977.737540633579,1901.45652436173,5977.737540633579
item_qty,404,2026-09,4081.709373046092,1585.5072385311719,6577.911507561012,1585.5072385311719,6577.911507561012
item_qty,404,2026-10,4223.82171359453,1341.4557649667145,7106.187662222344,1341.4557649667145,7106.187662222344
item_qty,404,2026-11,4365.934054142967,1143.3509555617366,7588.517152724198,1143.3509555617366,7588.517152724198
item_qty,404,2026-12,4508.046394691404,977.8834816357353,8038.209307747073,977.8834816357353,8038.209307747073
item_qty,404,2027-01,4650.158735239842,837.1469914648546,8463.170479014829,837.1469914648546,8463.170479014829
item_qty,402,2026-07,4918.140689787035,3216.676568258579,6619.60481131549,3216.676568258579,6619.60481131549
item_qty,402,2026-08,5199.588671168004,2793.3550346112384,7605.822307724769,2793.3550346112384,7605.822307724769
item_qty,402,2026-09,5481.0366525489735,2534.014346806142,8428.058958291806,2534.014346806142,8428.058958291806
item_qty,402,2026-10,5762.484633929944,2359.556390873033,9165.412876986855,2359.556390873033,9165.412876986855
item_qty,402,2026-11,6043.932615310913,2239.343178296323,9848.522052325503,2239.343178296323,9848.522052325503
item_qty,402,2026-12,6325.380596691883,2157.66168329434,10493.099510089425,2157.66168329434,10493.099510089425
item_qty,402,2027-01,6606.828578072852,2105.177647809579,11108.479508336124,2105.177647809579,11108.479508336124
item_qty,257,2026-07,384.56198468213523,219.12902349056887,549.9949458737016,219.12902349056887,549.9949458737016
item_qty,257,2026-08,392.24101913164054,158.2834817509855,626.1985565122956,158.2834817509855,626.1985565122956
item_qty,257,2026-09,399.9200535811458,113.38175955078253,686.458347611509,113.38175955078253,686.458347611509
item_qty,257,2026-10,407.59908803065105,76.73316564751832,738.4650104137838,76.73316564751832,738.4650104137838
item_qty,257,2026-11,415.27812248015636,45.358775536729354,785.1974694235834,45.358775536729354,785.1974694235834
item_qty,257,2026-12,422.9571569296616,17.730815372672282,828.1834984866509,17.730815372672282,828.1834984866509
item_qty,257,2027-01,430.63619137916686,-7.058282586717382,868.3306653450511,-7.058282586717382,868.3306653450511
