level,series_id,month,forecast_base,forecast_conservative,forecast_optimistic,ci95_lower,ci95_upper
customer,532,2026-07,412135.4512759945,192497.78335662393,631773.119195365,192497.78335662393,631773.119195365
customer,532,2026-08,430448.3278069215,119833.75902734959,741062.8965864934,119833.75902734959,741062.8965864934
customer,532,2026-09,448761.2043378486,68337.60424555797,829184.8044301393,68337.60424555797,829184.8044301393
customer,532,2026-10,467074.0808687756,27798.745030034508,906349.4167075166,27798.745030034508,906349.4167075166
customer,532,2026-11,485386.9573997027,-5737.798487534688,976511.71328694,-5737.798487534688,976511.71328694
customer,532,2026-12,503699.8339306298,-34300.380766686285,1041700.0486279458,-34300.380766686285,1041700.0486279458
customer,532,2027-01,522012.7104615568,-59093.93739528698,1103119.3583184006,-59093.93739528698,1103119.3583184006
customer,710,2026-07,291647.16657105956,185362.69690048977,397931.63624162937,185362.69690048977,397931.63624162937
customer,710,2026-08,301156.566023486,150847.62754573434,451465.5045012377,150847.62754573434,451465.5045012377
customer,710,2026-09,310665.96547591256,126575.86395097233,494756.0670008528,126575.86395097233,494756.0670008528
customer,710,2026-10,320175.364928339,107606.42558719945,532744.3042694787,107606.42558719945,532744.3042694787
customer,710,2026-11,329684.76438076555,92025.46524485681,567344.0635166743,92025.46524485681,567344.0635166743
customer,710,2026-12,339194.163833192,78851.44555798158,599536.8821084024,78851.44555798158,599536.8821084024
customer,710,2027-01,348703.56328561855,67501.28830890381,629905.8382623333,67501.28830890381,629905.8382623333
customer,50,2026-07,214283.5449074378,86285.14265136533,342281.9471635103,86285.14265136533,342281.9471635103
customer,50,2026-08,215510.53325765906,34493.45682503437,396527.6096902838,34493.45682503437,396527.6096902838
customer,50,2026-09,216737.5216078803,-4962.214387276035,438437.25760303665,-4962.214387276035,438437.25760303665
customer,50,2026-10,217964.50995810155,-38032.294554043416,473961.31447024655,-38032.294554043416,473961.31447024655
customer,50,2026-11,219191.4983083228,-67021.63014761772,505404.6267642633,-67021.63014761772,505404.6267642633
customer,50,2026-12,220418.48665854405,-93112.28676034068,533949.2600774288,-93112.28676034068,533949.2600774288
customer,50,2027-01,221645.4750087653,-117006.46557441133,560297.4155919419,-117006.46557441133,560297.4155919419
customer,729,2026-07,298843.37955018325,189804.52981107528,407882.2292892912,189804.52981107528,407882.2292892912
customer,729,2026-08,310287.396337217,156083.17621060848,464491.6164638256,156083.17621060848,464491.6164638256
