model,n_folds,rmse,mae,mape
holt_linear,8,515504.7979232463,409077.3570699376,12.029150284552937
holt_damped,8,558519.3818823741,427957.79214071156,12.29261887986112
arima_111,8,604791.1568264834,503508.7148681176,14.4625311301515
arima_010,8,607964.521813967,507530.8787499999,14.307141014895308
ses,8,626980.5535984642,448347.93334233837,11.805482231457788
naive_drift,8,634149.4214117681,546927.0869475505,15.446308406369466
arima_101,8,722216.2896174295,533946.5865078149,13.851234488347803
