invoice_no,line_no,item_code,item_name,unit,qty,unit_price_field,pct1,pct2,line_total,source_file
9619,1,102,كفته الهنا 350,طبق,30,27.50,0.00,17,684.75,فواتير المبيعات من 112025 الى 3152026.md
9619,2,101,كفته الهنا 800 جرام,طبق,24,56.00,0.00,17,1115.52,فواتير المبيعات من 112025 الى 3152026.md
9619,3,108,سجق الهنا 350,طبق,15,30.00,0.00,17,373.5,فواتير المبيعات من 112025 الى 3152026.md
9619,4,346,بانية 800 جرام,طبق,24,50.00,0.00,0,1200,فواتير المبيعات من 112025 الى 3152026.md
9619,5,104,برجر الهنا 400 جرام,طبق,30,28.50,0.00,17,709.65,فواتير المبيعات من 112025 الى 3152026.md
9619,6,120,برجر الهنا 900 جرام,طبق,24,58.50,0.00,17,1165.32,فواتير المبيعات من 112025 الى 3152026.md
9620,1,13,سجق شرقى 3 ك ابو هاشم,كيس 3 كيلو,100,320.00,0.00,0,32000.00,فواتير المبيعات من 112025 الى 3152026.md
9620,2,108,سجق الهنا 350,طبق,300,30.00,0.00,17,7470.00,فواتير المبيعات من 112025 الى 3152026.md
9620,3,102,كفته الهنا 350,طبق,270,27.50,0.00,17,6162.75,فواتير المبيعات من 112025 الى 3152026.md
9621,1,101,كفته الهنا 800 جرام,طبق,12,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9622,1,104,برجر الهنا 400 جرام,طبق,255,28.50,0.00,25,5450.62,فواتير المبيعات من 112025 الى 3152026.md
9622,2,108,سجق الهنا 350,طبق,255,30.00,0.00,25,5737.50,فواتير المبيعات من 112025 الى 3152026.md
9622,3,102,كفته الهنا 350,طبق,285,27.50,0.00,25,5878.12,فواتير المبيعات من 112025 الى 3152026.md
9623,1,270,برجر اسبشيال,طبق,4,55.00,0.00,0,220,فواتير المبيعات من 112025 الى 3152026.md
9624,1,12,مفروم 3 كيلو,كيس 3 كيلو,1,600.00,0.00,0,600,فواتير المبيعات من 112025 الى 3152026.md
9625,1,13,سجق شرقى 3 ك ابو هاشم,كيس 3 كيلو,8,300.00,0.00,0,2400,فواتير المبيعات من 112025 الى 3152026.md
9626,1,102,كفته الهنا 350,طبق,15,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9627,1,102,كفته الهنا 350,طبق,30,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9628,1,1,مفروم صافى 400 جم,طبق,30,65.00,0.00,0,1950,فواتير المبيعات من 112025 الى 3152026.md
9629,1,104,برجر الهنا 400 جرام,طبق,75,28.50,0.00,17,1774.12,فواتير المبيعات من 112025 الى 3152026.md
9629,2,101,كفته الهنا 800 جرام,طبق,660,56.00,0.00,17,30676.80,فواتير المبيعات من 112025 الى 3152026.md
