invoice_id,source_file,error
A1554,main_2025_2026,item_line_tax_pct_column_missing: '3 13 سجق شرقى 3 ك ابو هاشم كيس 3 كيلو 10 320.00 0.00 3200'
A56,main_2025_2026,item_line_tax_pct_column_missing: '3 346 بانية 800 جرام طبق 96 50.00 0.00 4800'
