item_code,item_name,brand,total_qty,paid_qty,paid_value,avg_selling_price,line_count
23,كيلو كفته,ابوهاشم,20.0,20.0,2000.0,100.0,6
87,جلتومات الصوديوم,ابوهاشم,25.0,25.0,1875.0,75.0,1
261,كتف هندى,ابوهاشم,5.6,5.6,1064.0,190.0,1
86,كيلو كفته مخصوص 1,ابوهاشم,6.0,6.0,1020.0,170.0,4
19,كيلو قطع ه,ابوهاشم,4.0,4.0,1000.0,250.0,1
433,عجينة بقرى 1 ك,ابوهاشم,12.0,10.0,900.0,90.0,8
16,كرتونه كبده امريكى,ابوهاشم,5.0,5.0,850.0,170.0,2
11111,كفته حاتي سيخ,ابوهاشم,16.0,15.0,640.0,42.666666666666664,4
296,عجينه كفته,ابوهاشم,3.0,3.0,600.0,200.0,1
432,بفتيك 600 جرام,ابوهاشم,3.0,3.0,540.0,180.0,2
383,كيلو عجينة سجق مخصوص,ابوهاشم,3.0,3.0,450.0,150.0,2
419,عجينة سجق اسباشيل بقرى 250 جرام,اسبشيال,35.0,25.0,437.5,17.5,7
388,عجينة كفته الهنا خام,الهنا,5.0,5.0,400.0,80.0,1
299,جلد فراخ,ابوهاشم,15.0,15.0,390.0,26.0,1
440,استربس الهنا 1 كيلو,الهنا,3.0,3.0,360.0,120.0,1
370,مفروم فراخ A,ابوهاشم,5.0,5.0,300.0,60.0,1
416,عجينة سجق اسبشيال نصف كيلو,اسبشيال,6.0,4.0,140.0,35.0,4
379,بكرة لزق شفاف,ابوهاشم,1.0,1.0,25.0,25.0,1
436,عجينة بقرى 500 جرام,ابوهاشم,1.0,0.0,0.0,,1
